INCOME72,year,id,wrkstat,occ,prestige,industry,OCC10,occindv,PRESTG10,PRESTG105PLUS,marital,agewed,divorce,spwrksta,spocc,sppres,PAIND16,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,INCOM16,hompop,babies,preteen,teens,adults,earnrs,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,libsoc,colcom,gunlaw,trust
$4000 TO,1972,11,KEEPING,611,18,319,Pressers,Verbatim,31,18,married,25,no,WORKING,622,33,677,7,1,30,13,12,,12,HIGH SCH,HIGH SCH,,LT HIGH,female,black,TOWN LT,W. SOU.,"SAME ST,",BELOW AV,3,1,0,0,2,1,127,6.98,7.98,3.07,2.62,3.34,24.2,5.79,7.85,4.81,2.83,3.62,22.7,,fired,favor,
$4000 TO,1972,12,WORKING,902,12,609,Baggage,,29,18,married,17,no,KEEPING,901,14,,6,5,56,6,,8,9,LT HIGH,,LT HIGH,LT HIGH,male,black,TOWN LT,W. SOU.,"SAME ST,",average,3,0,0,0,3,2,127,6.43,7.54,6.93,2.25,2.56,18.2,,,,,,,NOT REMO,fired,favor,Can't be
$4000 TO,1972,13,WORKING,332,36,338,Couriers,Verbatim,29,18,married,21,no,WORKING,984,18,798,2,1,54,9,5,5,8,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,black,TOWN LT,W. SOU.,SAME CIT,BELOW AV,2,0,0,0,2,2,127,4.61,7.5,7.76,3,2.85,30.8,6.69,7.82,6.65,1.72,2.03,12.8,remove,NOT FIRE,favor,Can't be
$4000 TO,1972,14,WORKING,981,18,769,Cooks,Verbatim,33,24,divorced,18,,,,,,2,2,49,8,,10,,LT HIGH,,LT HIGH,,female,black,TOWN LT,W. SOU.,DIFFEREN,FAR BELO,5,0,2,0,3,3,127,4.37,7.08,5.07,2.99,4.35,17.4,,,,,,,NOT REMO,fired,favor,Can't be
$6000 TO,1972,15,WORKING,690,32,379,Tire bui,Verbatim,25,14,married,16,no,WORKING,926,42,,0,5,41,9,,3,8,LT HIGH,,LT HIGH,LT HIGH,male,black,TOWN LT,W. SOU.,"SAME ST,",average,4,0,0,2,2,2,127,6.84,8,4.18,2.34,3.43,29.9,,,,,,,remove,fired,oppose,CAN TRUS
$4000 TO,1972,16,WORKING,902,12,707,Baggage,,29,18,married,24,yes,WORKING,944,33,,7,2,54,14,,0,14,HIGH SCH,,LT HIGH,HIGH SCH,male,black,TOWN LT,W. SOU.,"SAME ST,",FAR BELO,4,0,0,2,2,2,127,6.43,7.54,6.93,2.25,2.56,18.2,,,,,,,remove,fired,oppose,Can't be
$8000 TO,1972,17,school,523,41,69,Pipelaye,Verbatim,43,50,married,18,no,WORKING,280,34,377,0,2,24,14,8,8,13,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,mountain,DIFFEREN,average,4,2,0,0,2,1,127,3,8,1,4,7.33,40.7,1.3,3.77,4.5,4.14,7.12,45.2,remove,NOT FIRE,oppose,CAN TRUS
$6000 TO,1972,18,KEEPING,394,36,937,"Court, m",Verbatim,51,62,married,16,yes,WORKING,962,22,,2,3,62,8,,8,6,LT HIGH,,LT HIGH,LT HIGH,female,white,TOWN LT,W. SOU.,DIFFEREN,average,2,0,0,0,2,1,127,3.64,7.63,7.97,3.46,3.63,41.6,,,,,,,remove,NOT FIRE,oppose,Can't be
$15000 T,1972,19,WORKING,144,63,857,Secondar,,64,91,married,20,no,WORKING,245,50,469,2,3,46,17,8,18,13,bachelor,LT HIGH,graduate,HIGH SCH,female,white,"COUNTRY,",W. SOU.,DIFFEREN,ABOVE AV,4,0,0,1,3,4,127,1.9,2.02,8,4.99,6.96,62.7,5.64,7.8,2.39,3.75,6.27,42.4,NOT REMO,fired,oppose,CAN TRUS
$17500 T,1972,20,school,,,,,No verba,,,NEVER MA,,,,,,427,7,0,21,14,12,16,,HIGH SCH,HIGH SCH,bachelor,,female,white,50000 TO,W. SOU.,SAME CIT,ABOVE AV,5,0,1,0,4,4,127,,,,,,,2.15,7.74,3.41,4.91,6.17,62.9,NOT REMO,fired,favor,Can't be
$12500 T,1972,21,WORKING,245,50,67,Construc,Verbatim,53,75,married,26,no,WORKING,142,60,67,2,2,57,12,,,18,HIGH SCH,,,graduate,male,white,"COUNTRY,",W. NOR.,DIFFEREN,ABOVE AV,2,0,0,0,2,2,127,1.97,5.59,7.18,4.37,6.61,48.3,1.97,5.59,7.18,4.37,6.61,48.3,remove,NOT FIRE,,Can't be
$20000 T,1972,22,WORKING,455,51,407,Locomoti,,59,84,married,18,no,KEEPING,,,377,1,2,58,11,8,12,11,HIGH SCH,LT HIGH,JUNIOR C,HIGH SCH,male,white,TOWN LT,W. SOU.,"SAME ST,",average,2,0,0,0,2,1,127,3.03,8,2.85,4.03,6.95,47.5,6.87,7.95,3.13,2.94,3.33,29.1,NOT REMO,fired,oppose,CAN TRUS
$4000 TO,1972,23,WORKING,282,40,527,Driver/s,Verbatim,35,29,married,19,no,WORKING,372,46,67,1,0,21,13,3,11,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,W. SOU.,DIFFEREN,average,2,0,0,0,2,2,127,2.84,5.14,7.96,3.81,4.97,43.4,1.97,5.59,7.18,4.37,6.61,48.3,NOT REMO,fired,favor,CAN TRUS
$6000 TO,1972,24,KEEPING,372,46,838,Secretar,Verbatim,47,55,married,20,no,WORKING,484,34,917,7,1,26,12,8,12,12,HIGH SCH,LT HIGH,HIGH SCH,HIGH SCH,female,white,50000 TO,mountain,DIFFEREN,average,3,1,0,0,2,2,127,2.98,6.03,7.98,4,5.98,47.7,6.59,7.87,1.46,3.02,6.72,31.3,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,25,KEEPING,142,60,857,Elementa,Verbatim,61,85,married,30,no,retired,801,41,17,2,0,71,16,8,8,10,bachelor,LT HIGH,LT HIGH,LT HIGH,female,white,TOWN LT,E. NOR.,"SAME ST,",average,2,0,0,0,2,2,1,1.97,2.03,8,4.99,6.14,63.6,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,26,WORKING,643,19,118,Packers,,22,13,married,18,no,TEMP NOT,652,29,69,7,2,53,12,7,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,female,white,"COUNTRY,",E. NOR.,"SAME ST,",average,2,0,0,0,2,2,1,6.89,8,6.48,2.06,2.19,23.4,1.97,5.59,7.18,4.37,6.61,48.3,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,27,WORKING,280,34,607,Retail s,Verbatim,31,18,married,18,no,WORKING,372,46,69,5,2,42,12,12,8,12,HIGH SCH,HIGH SCH,LT HIGH,HIGH SCH,male,white,farm,E. NOR.,SAME CIT,average,3,0,0,1,2,3,1,3.53,5.62,7.86,3.4,4.1,37.5,3.27,7.84,1.26,3.87,7.61,38.7,NOT REMO,fired,oppose,CAN TRUS
$10000 T,1972,28,WORKING,610,36,999,Inspecto,,39,38,married,17,no,WORKING,999,,528,4,2,42,12,12,10,10,HIGH SCH,HIGH SCH,LT HIGH,LT HIGH,female,white,TOWN LT,E. NOR.,"SAME ST,",average,3,0,0,1,2,2,1,4.62,7.93,4.96,2.87,3.95,34.4,1.2,5.09,7.93,4.43,6.61,50.7,NOT REMO,fired,oppose,CAN TRUS
,1972,29,WORKING,623,22,648,Automoti,,24,17,married,19,no,WORKING,915,20,788,2,0,20,12,12,11,12,HIGH SCH,HIGH SCH,,HIGH SCH,male,white,"COUNTRY,",E. NOR.,SAME CIT,BELOW AV,2,0,0,0,2,2,1,6.8,6.28,6.63,2.92,3.15,18.3,2.9,6.93,1.64,3.09,5.14,27.9,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,30,WORKING,680,40,158,"Welding,",Verbatim,38,35,married,16,no,WORKING,925,36,757,4,2,23,9,8,11,10,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,white,"COUNTRY,",E. NOR.,"SAME ST,",average,4,2,0,0,2,2,1,6.69,7.97,3.71,2.9,5.19,33.4,2.94,7.91,1.55,3.13,6.81,33.2,remove,fired,favor,CAN TRUS
$8000 TO,1972,31,WORKING,635,29,168,Plating,Verbatim,33,28,married,21,no,KEEPING,602,27,,6,2,26,6,6,6,6,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,white,TOWN LT,E. NOR.,SAME CIT,average,4,1,1,0,2,3,1,4.6,8,1.87,3.27,5.32,33.5,,,,,,,NOT REMO,fired,favor,Can't be
$8000 TO,1972,32,WORKING,75,62,838,Register,Verbatim,64,87,married,22,no,WORKING,184,51,,2,1,25,14,,12,16,HIGH SCH,,HIGH SCH,HIGH SCH,female,white,CITY GT,E. NOR.,DIFFEREN,average,3,1,0,0,2,2,44,2.88,6.44,7.99,4.19,6.91,53.8,,,,,,,NOT REMO,NOT FIRE,oppose,CAN TRUS
$10000 T,1972,33,UNEMPL,580,47,858,Military,,62,76,NEVER MA,,,,,,,1,0,26,16,12,12,,bachelor,HIGH SCH,HIGH SCH,,male,white,TOWN LT,E. NOR.,SAME CIT,average,4,0,0,1,3,2,44,,,,,,,3.65,7.77,7.99,3.73,4.58,44.7,NOT REMO,NOT FIRE,favor,Can't be
LT $2000,1972,34,KEEPING,284,29,609,Retail s,Verbatim,31,18,married,21,no,retired,690,32,17,7,5,78,8,,12,8,LT HIGH,,HIGH SCH,LT HIGH,female,white,farm,E. NOR.,"SAME ST,",average,2,0,0,0,2,1,44,3.11,5.33,7.79,3.74,4.67,39.7,1.68,7.97,1.51,3.84,6.62,30.9,,fired,favor,
$4000 TO,1972,35,TEMP NOT,690,32,329,Paper go,Verbatim,32,21,married,18,no,WORKING,915,20,268,7,1,21,12,4,12,14,HIGH SCH,LT HIGH,HIGH SCH,HIGH SCH,male,white,TOWN LT,E. NOR.,SAME CIT,average,3,1,0,0,2,2,44,6.76,8,4.67,2.24,3.7,28.9,6.89,8,6.48,2.06,2.19,23.4,NOT REMO,fired,favor,Can't be
$10000 T,1972,36,WORKING,690,32,379,Tire bui,Verbatim,25,14,married,22,no,KEEPING,,,779,7,2,27,14,12,12,12,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,male,white,TOWN LT,E. NOR.,SAME CIT,average,4,2,0,0,2,1,44,6.84,8,4.18,2.34,3.43,29.9,1.97,5.59,7.18,4.37,6.61,48.3,NOT REMO,fired,favor,CAN TRUS
$17500 T,1972,37,KEEPING,690,32,258,First-li,Verbatim,50,62,married,20,no,WORKING,245,50,17,3,2,58,13,,8,12,HIGH SCH,,LT HIGH,HIGH SCH,female,white,farm,E. NOR.,"SAME ST,",BELOW AV,2,0,0,0,2,1,44,6.27,7.76,5.35,2.6,3.86,31.8,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,oppose,CAN TRUS
$10000 T,1972,38,KEEPING,,,,,No verba,,,married,15,no,WORKING,801,41,,5,1,35,10,,,9,LT HIGH,,,LT HIGH,female,white,farm,E. SOU.,SAME CIT,average,4,0,1,1,2,1,1,,,,,,,,,,,,,NOT REMO,fired,oppose,CAN TRUS
$6000 TO,1972,39,WORKING,801,41,17,"Farmers,",,46,58,NEVER MA,,,,,,17,4,0,58,6,,,,LT HIGH,,,,male,white,farm,E. SOU.,SAME CIT,average,1,0,0,0,1,1,1,1.68,7.97,1.51,3.84,6.62,30.9,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,oppose,Can't be
$4000 TO,1972,40,WORKING,305,48,917,Postseco,Verbatim,74,94,married,16,no,"UNEMPL,",436,33,627,5,2,51,12,3,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,female,white,farm,E. SOU.,SAME CIT,ABOVE AV,3,0,0,1,2,3,1,3.12,7.91,7.96,3.98,5.01,45.9,1.05,5.5,8,4.16,7.05,45.6,NOT REMO,fired,oppose,CAN TRUS
LT $2000,1972,41,KEEPING,,,,,No verba,,,widowed,18,no,,,,17,0,2,76,8,5,5,,LT HIGH,LT HIGH,LT HIGH,,female,white,farm,E. SOU.,SAME CIT,average,1,0,0,0,1,0,1,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,42,WORKING,801,41,17,"Farmers,",,46,58,married,22,no,WORKING,142,60,17,2,2,53,14,8,14,16,HIGH SCH,LT HIGH,HIGH SCH,bachelor,male,white,farm,E. SOU.,SAME CIT,average,2,0,0,0,2,2,1,1.68,7.97,1.51,3.84,6.62,30.9,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,Can't be
$4000 TO,1972,43,WORKING,785,17,367,Crushing,Verbatim,27,16,married,22,no,KEEPING,915,20,,4,2,39,8,,3,9,LT HIGH,,LT HIGH,LT HIGH,male,white,TOWN LT,E. SOU.,SAME CIT,average,4,0,1,1,2,2,1,7,8,6.83,1.61,2.34,19.9,,,,,,,remove,fired,favor,Can't be
$6000 TO,1972,44,KEEPING,944,33,787,Hairdres,Verbatim,36,27,married,37,no,WORKING,801,41,48,7,0,64,8,,,11,LT HIGH,,,LT HIGH,female,white,"COUNTRY,",MIDDLE A,DIFFEREN,average,2,0,0,0,2,2,1,2.06,6.82,1.87,3.94,5.95,38.5,5.67,8,3.69,2.83,4.12,26.5,,fired,favor,CAN TRUS
$25000 T,1972,45,KEEPING,984,18,769,Maids an,Verbatim,25,14,married,21,no,WORKING,715,32,17,7,4,50,8,8,8,10,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,farm,E. NOR.,SAME CIT,average,4,0,0,1,3,2,6,6.96,7.21,7.77,2.77,2.76,11.4,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,Can't be
,1972,46,KEEPING,372,46,857,Secretar,Verbatim,47,55,married,20,no,WORKING,554,39,17,3,0,27,12,12,8,12,HIGH SCH,HIGH SCH,LT HIGH,HIGH SCH,female,white,farm,E. NOR.,SAME CIT,average,2,0,0,0,2,1,6,2.98,6.03,7.98,4,5.98,47.7,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,oppose,Can't be
$20000 T,1972,47,WORKING,192,57,567,Public r,,46,57,NEVER MA,,,,,,,3,0,25,14,8,16,,HIGH SCH,LT HIGH,bachelor,,male,white,farm,E. NOR.,SAME CIT,average,3,0,0,0,3,2,6,0.16,5.95,7.81,5,6.98,62,5.87,7.79,4.7,2.82,3.73,26.9,NOT REMO,fired,oppose,CAN TRUS
$6000 TO,1972,48,WORKING,415,40,67,Carpente,Verbatim,44,49,married,23,no,KEEPING,,,69,3,4,49,12,,,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,E. NOR.,SAME CIT,ABOVE AV,3,0,0,0,3,1,6,3.27,7.84,1.26,3.87,7.61,38.7,3.27,7.84,1.26,3.87,7.61,38.7,remove,fired,favor,CAN TRUS
$10000 T,1972,49,WORKING,715,32,139,Driver/s,Verbatim,35,29,married,22,no,KEEPING,301,50,17,3,4,40,9,8,8,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,E. NOR.,SAME CIT,BELOW AV,6,1,1,2,2,1,6,6.87,7.95,3.13,2.94,3.33,29.1,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,oppose,CAN TRUS
$20000 T,1972,50,WORKING,801,41,17,Bakers,Verbatim,45,49,married,23,no,KEEPING,602,27,17,7,4,43,8,8,8,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,E. NOR.,"SAME ST,",average,6,0,2,1,3,3,6,1.68,7.97,1.51,3.84,6.62,30.9,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,oppose,Can't be
$4000 TO,1972,51,WORKING,410,36,67,"Carpet,",Verbatim,31,19,married,22,no,KEEPING,372,46,67,0,3,46,10,14,8,12,LT HIGH,HIGH SCH,LT HIGH,HIGH SCH,male,white,CITY GT,E. NOR.,SAME CIT,BELOW AV,4,0,0,1,3,2,1512,3.48,7.89,1.43,3.08,7.67,35.5,3.48,7.89,1.43,3.08,7.67,35.5,NOT REMO,fired,oppose,CAN TRUS
$10000 T,1972,52,WORKING,422,38,338,Printing,,36,25,married,22,no,KEEPING,325,30,219,6,5,37,14,10,12,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,CITY GT,E. NOR.,SAME CIT,FAR BELO,7,0,4,1,2,1,1512,4.63,7.84,1.98,3.84,6.79,43.6,5.88,7.94,3.83,2.7,4.16,32.3,NOT REMO,NOT FIRE,favor,CAN TRUS
$6000 TO,1972,53,WORKING,481,33,339,Industri,Verbatim,38,37,married,23,no,KEEPING,310,31,17,6,2,46,9,3,3,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,CITY GT,E. NOR.,SAME CIT,BELOW AV,4,0,1,1,2,1,179,2.34,7.94,1.1,3.85,6.81,39.8,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,54,KEEPING,394,36,707,Tellers,Verbatim,39,29,married,20,no,WORKING,321,36,408,3,1,22,12,13,6,14,HIGH SCH,HIGH SCH,LT HIGH,HIGH SCH,female,white,CITY GT,E. NOR.,SAME CIT,average,3,1,0,0,2,1,1512,3.55,7.6,7.94,3.59,3.91,41,2.46,6.51,7.79,4.13,5.49,48.3,remove,fired,favor,CAN TRUS
$15000 T,1972,55,KEEPING,602,27,219,Miscella,Verbatim,35,26,married,19,no,WORKING,705,28,,4,5,53,10,,4,11,LT HIGH,,LT HIGH,,female,white,CITY GT,E. NOR.,SAME CIT,average,7,2,0,0,5,4,1512,6.65,8,4.59,2.42,3.24,30.3,,,,,,,remove,fired,favor,Can't be
$12500 T,1972,56,WORKING,441,45,999,First-li,,50,62,married,22,no,KEEPING,305,48,,3,5,35,12,,11,12,HIGH SCH,,,HIGH SCH,male,white,CITY GT,E. NOR.,SAME CIT,ABOVE AV,7,2,3,0,2,1,1512,1.17,3.96,5.58,4.15,7.14,44.6,,,,,,,NOT REMO,fired,favor,Can't be
$20000 T,1972,57,KEEPING,371,46,828,Secretar,Verbatim,47,55,married,24,no,"UNEMPL,",522,41,718,1,3,31,14,12,12,12,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,female,white,CITY GT,E. NOR.,SAME CIT,average,5,3,0,0,2,1,1512,2.98,6.07,8,3.95,5.81,47.1,2.99,5.02,8,3.95,5.82,47.8,NOT REMO,NOT FIRE,favor,CAN TRUS
$12500 T,1972,58,KEEPING,372,46,358,Secretar,Verbatim,47,55,married,20,no,WORKING,680,40,67,6,0,30,12,12,12,12,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,female,white,CITY GT,E. NOR.,SAME CIT,average,2,0,0,0,2,1,1512,2.98,6.03,7.98,4,5.98,47.7,3.27,7.84,1.26,3.87,7.61,38.7,NOT REMO,fired,favor,Can't be
$12500 T,1972,59,KEEPING,372,46,917,Secretar,Verbatim,47,55,married,20,no,WORKING,245,50,,2,3,37,12,,11,13,HIGH SCH,,LT HIGH,HIGH SCH,female,white,TOWN LT,W. NOR.,SAME CIT,average,5,0,2,1,2,1,1,2.98,6.03,7.98,4,5.98,47.7,,,,,,,remove,fired,favor,CAN TRUS
$20000 T,1972,60,TEMP NOT,360,41,178,Office c,Verbatim,32,26,married,18,no,TEMP NOT,245,50,17,7,4,57,11,,,12,LT HIGH,,,LT HIGH,female,white,farm,W. NOR.,SAME CIT,average,2,0,0,0,2,1,1,3.65,7.77,7.99,3.73,4.58,44.7,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,CAN TRUS
$4000 TO,1972,61,UNEMPL,580,47,917,Military,,62,76,married,23,no,KEEPING,372,46,,2,1,39,12,,14,13,HIGH SCH,,HIGH SCH,HIGH SCH,male,white,50000 TO,MIDDLE A,DIFFEREN,ABOVE AV,3,0,0,1,2,1,1,,,,,,,,,,,,,remove,NOT FIRE,favor,Can't be
$4000 TO,1972,62,KEEPING,643,19,297,Cutting,Verbatim,28,11,married,35,yes,WORKING,903,16,17,1,1,62,9,,8,,LT HIGH,,LT HIGH,,female,white,TOWN LT,W. NOR.,SAME CIT,BELOW AV,3,0,0,0,3,3,1,6.89,8,6.48,2.06,2.19,23.4,6.35,7.89,5.42,2.26,2.99,15.5,remove,fired,favor,Can't be
$4000 TO,1972,63,WORKING,822,18,17,Miscella,Verbatim,27,18,married,19,yes,WORKING,901,14,17,2,5,51,12,8,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,W. NOR.,"SAME ST,",average,6,0,2,1,3,2,1,6.61,7.97,4.74,2.53,3.75,10.8,6.61,7.97,4.74,2.53,3.75,10.8,remove,fired,favor,CAN TRUS
$4000 TO,1972,64,WORKING,933,14,798,Uncodeab,,,,married,25,,WORKING,264,18,788,7,6,43,11,6,12,12,LT HIGH,LT HIGH,HIGH SCH,HIGH SCH,male,white,TOWN LT,W. NOR.,SAME CIT,average,7,1,1,3,2,3,1,6.05,6.79,7.44,2.69,2.92,26.4,2.9,6.93,1.64,3.09,5.14,27.9,remove,fired,favor,CAN TRUS
$10000 T,1972,65,WORKING,762,17,379,Producti,Verbatim,35,28,married,20,,WORKING,916,22,17,1,4,39,12,8,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,W. NOR.,SAME CIT,BELOW AV,5,0,2,1,2,3,1,5.85,7.65,7.12,2.53,2.74,15.3,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,oppose,CAN TRUS
$8000 TO,1972,66,KEEPING,663,25,219,Sewing m,,32,22,married,19,yes,WORKING,472,37,777,1,2,52,8,4,4,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,female,white,50000 TO,foreign,DIFFEREN,ABOVE AV,3,0,1,0,2,1,41,6.69,7.98,2.32,2.88,4.03,28.9,3.28,7.68,1.64,3.6,6.4,30.2,NOT REMO,NOT FIRE,oppose,Can't be
$10000 T,1972,67,WORKING,461,48,377,First-li,Verbatim,43,43,married,21,no,KEEPING,385,40,369,2,2,30,12,8,12,12,HIGH SCH,LT HIGH,HIGH SCH,HIGH SCH,male,white,BIG-CITY,E. NOR.,"SAME ST,",average,4,2,0,0,2,2,41,2.22,7.97,0.21,3.95,6.97,41.5,1.3,3.77,4.5,4.14,7.12,45.2,NOT REMO,fired,oppose,Can't be
,1972,68,WORKING,305,48,69,Bookkeep,Verbatim,45,48,married,17,no,WORKING,245,50,788,2,0,47,12,12,10,13,HIGH SCH,HIGH SCH,LT HIGH,HIGH SCH,female,white,TOWN LT,E. NOR.,SAME CIT,ABOVE AV,2,0,0,0,2,2,41,3.12,7.91,7.96,3.98,5.01,45.9,2.9,6.93,1.64,3.09,5.14,27.9,NOT REMO,NOT FIRE,favor,CAN TRUS
$10000 T,1972,69,WORKING,391,41,707,Word pro,,37,29,NEVER MA,,,,,,408,3,0,31,12,12,8,,HIGH SCH,HIGH SCH,LT HIGH,,female,white,TOWN LT,E. NOR.,SAME CIT,average,2,0,0,0,2,2,41,3.72,7.9,7.85,3.05,3.78,37.6,4.01,6.03,3.03,3.01,4.98,30.2,NOT REMO,NOT FIRE,favor,Can't be
